Date,Murban,Ice Brent,Oman,Dubai,Nymex WTI
24 Jan 2020,63.940,62.40,62.770,62.190,55.840
23 Jan 2020,64.370,62.59,63.220,62.620,56.010
22 Jan 2020,66.040,64.33,64.890,64.370,58.090
21 Jan 2020,66.060,64.55,64.850,64.400,58.030
20 Jan 2020,66.710,65.50,65.680,65.500,59.020
17 Jan 2020,66.220,64.76,65.350,64.590,58.630
16 Jan 2020,66.120,64.29,65.150,64.510,58.080
15 Jan 2020,66.240,64.38,65.230,64.730,58.090
14 Jan 2020,66.180,64.13,65.180,64.620,57.960
13 Jan 2020,67.280,65.01,66.020,65.580,59.070
10 Jan 2020,67.490,65.33,66.480,65.700,59.460
09 Jan 2020,68.070,65.71,66.670,65.840,59.850
08 Jan 2020,71.270,69.12,69.920,69.020,63.300
07 Jan 2020,70.510,68.47,69.080,68.140,62.920
06 Jan 2020,72.090,70.01,70.450,69.540,64.120
03 Jan 2020,70.360,68.28,68.620,67.630,62.920
02 Jan 2020,68.400,66.41,66.300,65.590,61.350
31 Dec 2019,68.930,66.73,67.420,67.410,61.610
30 Dec 2019,69.280,68.27,68.310,67.850,61.720
27 Dec 2019,69.380,68.19,67.630,67.970,61.930
26 Dec 2019,69.050,67.38,67.450,67.390,61.260
24 Dec 2019,68.390,66.51,66.420,66.820,60.550
23 Dec 2019,67.670,65.87,66.290,66.210,60.150
20 Dec 2019,68.470,66.63,67.230,66.880,61.150
19 Dec 2019,67.950,66.09,66.780,66.330,60.860
18 Dec 2019,67.670,65.86,66.470,65.890,60.550
17 Dec 2019,67.610,65.48,66.260,65.750,60.290
16 Dec 2019,67.510,65.32,66.210,65.450,60.110
13 Dec 2019,67.030,64.80,65.680,64.920,59.590
12 Dec 2019,66.080,63.92,64.740,63.850,58.810
11 Dec 2019,65.730,63.86,64.650,63.490,58.870
10 Dec 2019,65.890,64.11,64.860,63.900,58.870
09 Dec 2019,65.790,64.10,64.790,63.740,58.830
06 Dec 2019,64.740,63.42,64.150,63.030,58.440
05 Dec 2019,64.410,62.91,63.800,62.700,58.230
04 Dec 2019,62.790,61.16,62.190,60.950,56.370
03 Dec 2019,62.770,61.20,62.110,60.800,56.280
02 Dec 2019,62.780,61.33,61.760,60.810,56.110
29 Nov 2019,65.720,63.79,63.430,63.800,58.120
